City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Mayo,US,2021-10-14 23:40:10,38.8876,-76.5119,72.41,89,1,0.0
145,Tres Arroyos,AR,2021-10-14 23:40:10,-38.3739,-60.2798,45.45,88,97,4.43
146,Tuktoyaktuk,CA,2021-10-14 23:40:11,69.4541,-133.0374,28.4,100,75,4.61
147,Mehriz,IR,2021-10-14 23:40:12,31.5917,54.4318,59.5,27,0,5.06
148,Porto Novo,BJ,2021-10-14 23:36:01,6.4965,2.6036,82.22,85,8,5.1
149,Altay,CN,2021-10-14 23:40:13,47.8667,88.1167,34.03,39,0,9.55
150,Laredo,US,2021-10-14 23:36:13,27.5064,-99.5075,96.8,46,1,0.0
151,Beringovskiy,RU,2021-10-14 23:38:50,63.05,179.3167,20.86,75,25,9.42
152,Rock Sound,BS,2021-10-14 23:40:13,24.9,-76.2,82.09,73,10,9.24
153,Muisne,EC,2021-10-14 23:40:14,0.6,-80.0333,74.08,85,100,9.82
154,Dicabisagan,PH,2021-10-14 23:40:14,17.0818,122.4157,79.86,86,67,3.85
155,Thompson,CA,2021-10-14 23:40:14,55.7435,-97.8558,39.36,100,90,8.05
156,Kodiak,US,2021-10-14 23:39:05,57.79,-152.4072,47.71,43,1,21.85
157,Luorong,CN,2021-10-14 23:40:15,24.4058,109.6086,67.6,77,27,12.59
158,Te Anau,NZ,2021-10-14 23:40:15,-45.4167,167.7167,54.82,58,57,1.72
159,Cherskiy,RU,2021-10-14 23:38:53,68.75,161.3,8.64,95,99,6.78
160,Moron,AR,2021-10-14 23:40:16,-34.6534,-58.6198,58.75,63,65,7.0
161,Kastamonu,TR,2021-10-14 23:40:16,41.5,33.6667,46.67,97,6,2.66
162,Alofi,NU,2021-10-14 23:40:17,-19.0595,-169.9187,80.49,57,75,6.91
163,Chara,RU,2021-10-14 23:40:17,56.9064,118.2631,15.62,58,86,3.94
164,Esperance,AU,2021-10-14 23:40:18,-33.8667,121.9,53.44,69,73,10.85
165,Kibala,TD,2021-10-14 23:40:18,9.1104,18.3463,73.35,94,0,6.91
166,Kuala Terengganu,MY,2021-10-14 23:40:19,5.3302,103.1408,78.75,100,20,2.3
167,Hamilton,US,2021-10-14 23:37:40,39.1834,-84.5333,77.36,77,20,3.44
168,Enid,US,2021-10-14 23:40:19,36.3956,-97.8784,68.16,80,1,4.61
169,Sakakah,SA,2021-10-14 23:40:20,29.9697,40.2064,81.97,20,58,5.08
170,Longyearbyen,SJ,2021-10-14 23:40:21,78.2186,15.6401,28.24,80,75,9.22
171,Semenivka,UA,2021-10-14 23:40:21,52.1783,32.5818,37.49,88,40,7.87
172,Manado,ID,2021-10-14 23:40:22,1.487,124.8455,83.17,89,20,1.14
173,Arraial Do Cabo,BR,2021-10-14 23:38:43,-22.9661,-42.0278,73.36,88,75,21.85
174,Nakhon Phanom,TH,2021-10-14 23:40:22,17.3333,104.4167,70.57,96,100,4.81
175,Lompoc,US,2021-10-14 23:40:23,34.6391,-120.4579,81.01,52,1,14.97
176,Flin Flon,CA,2021-10-14 23:40:23,54.7682,-101.865,37.24,93,90,13.8
177,Kloulklubed,PW,2021-10-14 23:40:24,7.0419,134.2556,82.9,74,91,13.15
178,Ixtapa,MX,2021-10-14 23:40:25,20.7,-105.2,87.03,62,20,6.91
179,Lac-Megantic,CA,2021-10-14 23:40:26,45.5834,-70.8823,60.82,93,88,0.85
180,Hobyo,SO,2021-10-14 23:40:26,5.3505,48.5268,77.63,86,84,17.9
181,Dumka,IN,2021-10-14 23:40:26,24.2667,87.25,77.9,79,52,4.21
182,Curitibanos,BR,2021-10-14 23:40:27,-27.2828,-50.5844,62.76,95,43,2.59
183,Mount Isa,AU,2021-10-14 23:37:57,-20.7333,139.5,74.97,17,62,16.11
184,Cayenne,GF,2021-10-14 23:40:28,4.9333,-52.3333,81.09,82,0,1.01
185,Fairbanks,US,2021-10-14 23:40:05,64.8378,-147.7164,33.76,71,75,0.0
186,Xixiang,CN,2021-10-14 23:40:29,35.1628,112.865,61.09,62,99,7.67
187,Axim,GH,2021-10-14 23:40:29,4.8699,-2.2405,78.22,89,95,6.85
188,Houma,US,2021-10-14 23:40:30,29.5958,-90.7195,84.2,81,40,6.91
189,Itarema,BR,2021-10-14 23:40:30,-2.9248,-39.9167,79.36,84,2,16.51
190,Ossora,RU,2021-10-14 23:40:31,59.2353,163.0719,34.52,72,70,11.77
191,Inhambane,MZ,2021-10-14 23:40:31,-23.865,35.3833,73.72,89,99,13.04
192,Lapithos,CY,2021-10-14 23:40:31,35.3375,33.1792,65.08,64,0,7.34
193,Khor,RU,2021-10-14 23:40:32,47.8861,134.9464,36.23,74,42,10.02
194,Salekhard,RU,2021-10-14 23:40:32,66.53,66.6019,40.39,89,100,9.8
195,Ivot,RU,2021-10-14 23:40:33,53.6756,34.1872,39.4,91,84,6.58
196,Meru,KE,2021-10-14 23:40:33,0.0463,37.6559,59.31,84,41,4.12
197,Mount Gambier,AU,2021-10-14 23:40:33,-37.8333,140.7667,51.71,93,90,12.66
198,Kenitra,MA,2021-10-14 23:40:34,34.261,-6.5802,70.72,50,2,1.14
199,Ko Samui,TH,2021-10-14 23:40:34,9.5357,99.9357,82.47,74,100,19.37
200,Nanortalik,GL,2021-10-14 23:39:04,60.1432,-45.2371,39.65,65,5,3.94
