City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Pisco,PE,-13.7,-76.2167,69.85,64,0,21.85,clear sky
161,Airai,TL,-8.9266,125.4092,62.4,89,5,1.14,clear sky
162,Lavrentiya,RU,65.5833,-171.0,25.12,83,66,14.09,broken clouds
163,Kautokeino,NO,69.0125,23.0412,32.95,91,100,27.16,light snow
164,Nome,US,64.5011,-165.4064,28.47,80,90,12.66,light snow
165,Lebu,CL,-37.6167,-73.65,55.17,72,100,13.65,overcast clouds
166,Victoria,HK,22.2855,114.1577,75.25,80,12,7.0,few clouds
167,Alugan,PH,12.2188,125.4808,78.28,89,20,5.39,few clouds
168,Terney,RU,45.0503,136.6092,29.25,64,32,11.59,scattered clouds
169,Broome,US,42.2506,-75.833,63.01,94,90,3.0,moderate rain
170,Bengkulu,ID,-3.8004,102.2655,77.25,87,100,3.4,overcast clouds
171,Langxiang,CN,46.95,128.8833,21.92,59,2,7.52,clear sky
172,Codrington,AU,-38.2667,141.9667,49.91,87,100,6.69,overcast clouds
173,Bhainsdehi,IN,21.6467,77.6325,69.75,95,100,3.85,overcast clouds
174,Belfort,FR,47.6333,6.8667,50.32,91,0,1.5,clear sky
175,Upernavik,GL,72.7868,-56.1549,20.86,51,41,6.58,scattered clouds
176,Kaseda,JP,31.4167,130.3167,66.58,74,97,22.06,overcast clouds
177,Cabedelo,BR,-6.9811,-34.8339,81.27,74,90,17.87,overcast clouds
178,Oussouye,SN,12.485,-16.5469,86.18,68,12,8.43,few clouds
179,Senneterre,CA,48.3835,-77.2328,53.82,94,100,7.9,light rain
180,Iqaluit,CA,63.7506,-68.5145,33.53,69,20,3.0,few clouds
181,Ketchikan,US,55.3422,-131.6461,41.47,87,40,3.44,scattered clouds
182,Bihariganj,IN,25.7333,86.9833,81.09,85,99,6.49,overcast clouds
183,Mindelo,CV,16.8901,-24.9804,80.15,69,20,20.71,few clouds
184,Fatehabad,IN,29.5167,75.45,78.75,27,0,4.59,clear sky
185,Kahului,US,20.8947,-156.47,79.97,85,40,18.41,light rain
186,Kidal,ML,18.4411,1.4078,90.16,9,6,9.73,clear sky
187,Ancud,CL,-41.8697,-73.8203,53.13,81,100,10.45,light rain
188,Vredendal,ZA,-31.6683,18.5012,54.46,78,5,8.39,clear sky
189,Mulanje,MW,-16.0316,35.5,82.2,45,93,4.99,overcast clouds
190,Bethel,US,41.3712,-73.414,76.73,74,40,1.01,scattered clouds
