City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
425,Ambanja,MG,75.43,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
427,Phalombe,MW,81.32,overcast clouds,-15.8064,35.6507,RIVONIA
428,Abu Kamal,SY,76.75,clear sky,34.4506,40.9171,محطة التلفاز
429,Chail,IN,82.24,overcast clouds,25.4333,81.6333,Chaudhary house
432,Chipoka,MW,83.32,broken clouds,-13.9933,34.5157,The Cichlids Lodge
435,Santa Marta,CO,87.35,broken clouds,11.2408,-74.199,Casa de Isabella
439,Banda Aceh,ID,80.98,light rain,5.5577,95.3222,Sulthan Hotel International
441,Pemba,MZ,75.9,broken clouds,-12.974,40.5178,Guesthouse Samotina
442,Asbury Park,US,83.17,broken clouds,40.2204,-74.0121,The Empress Hotel
443,Laguna,US,85.21,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
444,Kutum,SD,81.86,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
445,Ixtapa,MX,88.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
446,Puerto Escondido,MX,88.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
448,Mahajanga,MG,73.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
449,Mongu,ZM,83.41,scattered clouds,-15.2484,23.1274,Country Lodge Mongu
451,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
454,Sao Sebastiao,BR,72.9,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
456,Abnub,EG,80.82,clear sky,27.2696,31.1511,Romany Adly Gad
463,Jalpan,MX,77.22,scattered clouds,21.2333,-99.4833,Hotel Mision Jalpan
468,Sur,OM,80.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
471,Vanimo,PG,77.77,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
477,Port Keats,AU,81.54,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
478,Davila,PH,79.79,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
